case,role,altitude_km,inside_R,outside_inner_R,outside_outer_R,radius_scale,inside_nT,outside_nT,ratio,matched_ratio,common_support_fraction
Copernicus,Primary crater case,150,0.6,1.2,2.0,1.1,197.9009503516083,282.4315616979595,0.7007040897336017,0.6610971566880723,0.9999999999999998
Copernicus,Primary crater case,150,0.6,1.5,2.5,0.9,197.1271511275208,288.93122094243085,0.6822632406582261,0.6272879586663475,1.0
Copernicus,Primary crater case,150,0.6,1.5,2.5,1.0,199.74699114243253,317.0629180045415,0.6299916508671363,0.6004607901056377,1.0
Copernicus,Primary crater case,150,0.6,1.5,2.5,1.1,197.9009503516083,347.5442487947091,0.569426629955561,0.5743231681350224,0.981082278655956
Copernicus,Primary crater case,150,0.8,1.2,1.8,0.9,198.95288915091402,240.53404040823378,0.8271298682433956,0.7441004427436687,0.9999999999999997
Copernicus,Primary crater case,150,0.8,1.2,1.8,1.0,203.3998697962165,250.57828334622258,0.8117218582552905,0.7599032199726503,1.0
Copernicus,Primary crater case,150,0.8,1.2,1.8,1.1,202.41570015592455,266.8063298315034,0.7586615365675786,0.734573493787315,1.0
Copernicus,Primary crater case,150,0.8,1.2,2.0,0.9,198.95288915091402,248.68667294942657,0.8000142781731351,0.737474676520666,0.9999999999999997
Copernicus,Primary crater case,150,0.8,1.2,2.0,1.0,203.3998697962165,263.8040379975247,0.7710263699531583,0.7459807153033853,1.0
Copernicus,Primary crater case,150,0.8,1.2,2.0,1.1,202.41570015592455,282.4315616979595,0.7166893775575753,0.6918853898194111,1.0
Copernicus,Primary crater case,150,0.8,1.5,2.5,0.9,198.95288915091402,288.93122094243085,0.6885821771076622,0.6477088728582773,0.9999999999999997
Copernicus,Primary crater case,150,0.8,1.5,2.5,1.0,203.3998697962165,317.0629180045415,0.6415126406970842,0.6321820720683968,0.9490857057004155
Copernicus,Primary crater case,150,0.8,1.5,2.5,1.1,202.41570015592455,347.5442487947091,0.5824170615911687,0.6053436540175194,0.9362506906442315
Copernicus,Primary crater case,150,1.0,1.2,1.8,0.9,201.69380156428744,240.53404040823378,0.8385249805889147,0.7776705521263064,1.0
Copernicus,Primary crater case,150,1.0,1.2,1.8,1.0,206.85734251273124,250.57828334622258,0.8255198325663268,0.7945329429180841,1.0
Copernicus,Primary crater case,150,1.0,1.2,1.8,1.1,206.0389751478353,266.8063298315034,0.7722417053521758,0.7463555990809188,1.0
Copernicus,Primary crater case,150,1.0,1.2,2.0,0.9,201.69380156428744,248.68667294942657,0.8110358274216982,0.7688346488746048,1.0
Copernicus,Primary crater case,150,1.0,1.2,2.0,1.0,206.85734251273124,263.8040379975247,0.7841325860018572,0.7678612110709522,1.0
Copernicus,Primary crater case,150,1.0,1.2,2.0,1.1,206.0389751478353,282.4315616979595,0.729518237654258,0.6972015008647742,1.0
Copernicus,Primary crater case,150,1.0,1.5,2.5,0.9,201.69380156428744,288.93122094243085,0.6980685607682205,0.6694652205872277,1.0
Copernicus,Primary crater case,150,1.0,1.5,2.5,1.0,206.85734251273124,317.0629180045415,0.6524173303349473,0.6459357584736095,0.9174918980685631
Copernicus,Primary crater case,150,1.0,1.5,2.5,1.1,206.0389751478353,347.5442487947091,0.5928424247052939,0.6135087559641371,0.9052856554019465
Copernicus,Primary crater case,400,0.6,1.2,1.8,0.9,52.3189434572355,65.23311390283551,0.8020304463031518,0.7923285699371739,1.0
Copernicus,Primary crater case,400,0.6,1.2,1.8,1.0,52.30957378652674,68.1870520508278,0.7671481932894574,0.8100091369588307,1.0
Copernicus,Primary crater case,400,0.6,1.2,1.8,1.1,52.960659676373055,71.02315597279886,0.745681587236935,0.8376081431049296,0.9999999999999998
Copernicus,Primary crater case,400,0.6,1.2,2.0,0.9,52.3189434572355,67.4402231842803,0.7757824779771869,0.8032275066250066,1.0
Copernicus,Primary crater case,400,0.6,1.2,2.0,1.0,52.30957378652674,70.51372148308397,0.7418353858840886,0.823471756406407,1.0
Copernicus,Primary crater case,400,0.6,1.2,2.0,1.1,52.960659676373055,73.50974140937458,0.7204577061621803,0.82753794607116,0.9999999999999998
Copernicus,Primary crater case,400,0.6,1.5,2.5,0.9,52.3189434572355,74.31100074515982,0.7040538134677623,0.8092281797201935,1.0
Copernicus,Primary crater case,400,0.6,1.5,2.5,1.0,52.30957378652674,78.57875204715273,0.6656961637051368,0.7898499014179845,1.0
Copernicus,Primary crater case,400,0.6,1.5,2.5,1.1,52.960659676373055,82.51222102481047,0.6418523101014139,0.7341663758675198,0.981082278655956
Copernicus,Primary crater case,400,0.8,1.2,1.8,0.9,53.04475352572788,65.23311390283551,0.813156851667971,0.7994024041367126,0.9999999999999997
Copernicus,Primary crater case,400,0.8,1.2,1.8,1.0,53.779803223597106,68.1870520508278,0.7887099032160639,0.8185631268691612,1.0
Copernicus,Primary crater case,400,0.8,1.2,1.8,1.1,53.87283028018475,71.02315597279886,0.758524871815292,0.8183931257620383,1.0
Copernicus,Primary crater case,400,0.8,1.2,2.0,0.9,53.04475352572788,67.4402231842803,0.7865447506124524,0.8097271765972944,0.9999999999999997
Copernicus,Primary crater case,400,0.8,1.2,2.0,1.0,53.779803223597106,70.51372148308397,0.762685646034137,0.8248744177627793,1.0
Copernicus,Primary crater case,400,0.8,1.2,2.0,1.1,53.87283028018475,73.50974140937458,0.7328665459475339,0.8055697482866438,1.0
Copernicus,Primary crater case,400,0.8,1.5,2.5,0.9,53.04475352572788,74.31100074515982,0.7138210089195024,0.8128456343993713,0.9999999999999997
Copernicus,Primary crater case,400,0.8,1.5,2.5,1.0,53.779803223597106,78.57875204715273,0.6844064307782016,0.7846267314020192,0.9490857057004155
